Opponent,Scored_sum,Missed_sum,Number_of_wins,Number_of_defeats,Number_of_draws,Wins_Percentage(%)
 1. FC Kaiserslautern ,3.0,6.0,1.0,1.0,0.0,50.0
 1. FC Köln ,5.0,3.0,1.0,1.0,0.0,50.0
 AC Milan ,27.0,26.0,7.0,6.0,3.0,43.75
 ACF Fiorentina ,4.0,1.0,2.0,0.0,0.0,100.0
 AD Alcorcón ,1.0,4.0,1.0,1.0,0.0,50.0
 AD Almería ,11.0,3.0,3.0,0.0,1.0,75.0
 AEK Athen ,10.0,6.0,1.0,1.0,2.0,25.0
 AEL Limassol ,12.0,0.0,2.0,0.0,0.0,100.0
 AFC Ajax ,27.0,15.0,8.0,5.0,1.0,57.142857142857146
 AJ Auxerre ,5.0,0.0,2.0,0.0,0.0,100.0
 APOEL Nikosia ,17.0,2.0,4.0,0.0,0.0,100.0
 AS Monaco ,5.0,5.0,1.0,1.0,0.0,50.0
 AS Roma ,26.0,10.0,9.0,3.0,1.0,69.23076923076923
 Aberdeen FC ,1.0,2.0,0.0,1.0,0.0,0.0
 Al Ain FC ,4.0,1.0,1.0,0.0,0.0,100.0
 Al Jazira Club ,2.0,1.0,1.0,0.0,0.0,100.0
 Al Nassr ,3.0,1.0,1.0,0.0,0.0,100.0
 Albacete ,33.0,9.0,11.0,0.0,3.0,78.57142857142857
 Alicante CF ,3.0,2.0,1.0,0.0,1.0,50.0
 Arenas de Getxo ,46.0,28.0,9.0,4.0,2.0,60.0
 Argeș Pitești ,4.0,3.0,1.0,1.0,0.0,50.0
 Arsenal FC ,0.0,1.0,0.0,1.0,1.0,0.0
 Athletic Bilbao ,378.0,266.0,98.0,62.0,35.0,50.256410256410255
 Atlético Aviación ,23.0,29.0,6.0,9.0,0.0,40.0
 Atlético Madrid ,328.0,237.0,99.0,43.0,46.0,52.659574468085104
 Atlético Tetuán ,7.0,5.0,1.0,0.0,1.0,50.0
 Austria Wien ,5.0,3.0,1.0,0.0,1.0,50.0
 Austria/WAC ,5.0,2.0,1.0,0.0,1.0,50.0
 B 1909 Odense ,9.0,2.0,2.0,0.0,0.0,100.0
 B 1913 Odense ,12.0,0.0,2.0,0.0,0.0,100.0
 BATE Borisov ,3.0,0.0,2.0,0.0,0.0,100.0
 BSC Young Boys ,5.0,1.0,1.0,1.0,0.0,50.0
 Barcelona Atlètic ,1.0,0.0,1.0,0.0,1.0,50.0
 Bayer Leverkusen ,15.0,11.0,4.0,1.0,2.0,57.142857142857146
 Bayern München ,40.0,41.0,11.0,12.0,3.0,42.30769230769231
 Beşiktaş ,3.0,1.0,1.0,0.0,1.0,50.0
 Boca Juniors ,1.0,2.0,0.0,1.0,0.0,0.0
 Bor. Mönchengladbach ,8.0,8.0,1.0,1.0,2.0,25.0
 Borussia Dortmund ,24.0,19.0,6.0,3.0,5.0,42.857142857142854
 Budapest Honved SE ,3.0,0.0,2.0,0.0,0.0,100.0
 Budapesti Vasas ,9.0,3.0,3.0,1.0,0.0,75.0
 Burgos CF ,26.0,15.0,8.0,2.0,2.0,66.66666666666667
 CA Osasuna ,172.0,77.0,49.0,13.0,16.0,62.82051282051282
 CD Alavés ,78.0,21.0,24.0,4.0,2.0,80.0
 CD Alcoyano ,27.0,11.0,6.0,2.0,2.0,60.0
 CD Castellón ,60.0,18.0,16.0,3.0,3.0,72.72727272727273
 CD Condal ,7.0,0.0,2.0,0.0,0.0,100.0
 CD Leganés ,28.0,13.0,9.0,2.0,1.0,75.0
 CD Leonesa ,19.0,3.0,4.0,0.0,0.0,100.0
 CD Logroñés ,37.0,14.0,12.0,2.0,4.0,66.66666666666667
 CD Málaga ,78.0,44.0,24.0,9.0,9.0,57.142857142857146
 CD Numancia ,20.0,10.0,7.0,1.0,2.0,70.0
 CD Tenerife ,61.0,31.0,18.0,6.0,5.0,62.06896551724138
 CD Toledo ,1.0,2.0,0.0,1.0,0.0,0.0
 CE Europa ,21.0,8.0,5.0,1.0,0.0,83.33333333333333
 CE Sabadell ,80.0,33.0,22.0,4.0,6.0,68.75
 CF América ,2.0,0.0,1.0,0.0,0.0,100.0
 CF Extremadura ,12.0,1.0,3.0,0.0,1.0,75.0
 CF Fuenlabrada ,4.0,2.0,1.0,0.0,1.0,50.0
 CP Mérida ,11.0,6.0,3.0,1.0,2.0,50.0
 CSKA Moskva ,5.0,6.0,1.0,2.0,1.0,25.0
 Cardiff City ,2.0,1.0,1.0,1.0,0.0,50.0
 Castilla CF ,6.0,1.0,1.0,0.0,0.0,100.0
