,Scored,Scored,Scored,Missed,Missed,Missed
,sum,count,mean,sum,count,mean
Opponent,,,,,,
 1. FC Kaiserslautern ,3,2,1.5,6,2,3.0
 1. FC Köln ,5,2,2.5,3,2,1.5
 AC Milan ,27,16,1.6875,26,16,1.625
 ACF Fiorentina ,4,2,2.0,1,2,0.5
 AD Alcorcón ,1,2,0.5,4,2,2.0
 AD Almería ,11,4,2.75,3,4,0.75
 AEK Athen ,10,4,2.5,6,4,1.5
 AEL Limassol ,12,2,6.0,0,2,0.0
 AFC Ajax ,27,14,1.9285714285714286,15,14,1.0714285714285714
 AJ Auxerre ,5,2,2.5,0,2,0.0
 APOEL Nikosia ,17,4,4.25,2,4,0.5
 AS Monaco ,5,2,2.5,5,2,2.5
 AS Roma ,26,13,2.0,10,13,0.7692307692307693
 Aberdeen FC ,1,1,1.0,2,1,2.0
 Al Ain FC ,4,1,4.0,1,1,1.0
 Al Jazira Club ,2,1,2.0,1,1,1.0
 Al Nassr ,3,1,3.0,1,1,1.0
 Albacete ,33,14,2.357142857142857,9,14,0.6428571428571429
 Alicante CF ,3,2,1.5,2,2,1.0
 Arenas de Getxo ,46,15,3.066666666666667,28,15,1.8666666666666667
 Argeș Pitești ,4,2,2.0,3,2,1.5
 Arsenal FC ,0,2,0.0,1,2,0.5
 Athletic Bilbao ,378,195,1.9384615384615385,266,195,1.3641025641025641
 Atlético Aviación ,23,15,1.5333333333333334,29,15,1.9333333333333333
 Atlético Madrid ,328,188,1.7446808510638299,237,188,1.2606382978723405
 Atlético Tetuán ,7,2,3.5,5,2,2.5
 Austria Wien ,5,2,2.5,3,2,1.5
 Austria/WAC ,5,2,2.5,2,2,1.0
 B 1909 Odense ,9,2,4.5,2,2,1.0
 B 1913 Odense ,12,2,6.0,0,2,0.0
 BATE Borisov ,3,2,1.5,0,2,0.0
 BSC Young Boys ,5,2,2.5,1,2,0.5
 Barcelona Atlètic ,1,2,0.5,0,2,0.0
 Bayer Leverkusen ,15,7,2.142857142857143,11,7,1.5714285714285714
 Bayern München ,40,26,1.5384615384615385,41,26,1.5769230769230769
 Beşiktaş ,3,2,1.5,1,2,0.5
 Boca Juniors ,1,1,1.0,2,1,2.0
 Bor. Mönchengladbach ,8,4,2.0,8,4,2.0
 Borussia Dortmund ,24,14,1.7142857142857142,19,14,1.3571428571428572
 Budapest Honved SE ,3,2,1.5,0,2,0.0
 Budapesti Vasas ,9,4,2.25,3,4,0.75
 Burgos CF ,26,12,2.1666666666666665,15,12,1.25
 CA Osasuna ,172,78,2.2051282051282053,77,78,0.9871794871794872
 CD Alavés ,78,30,2.6,21,30,0.7
 CD Alcoyano ,27,10,2.7,11,10,1.1
 CD Castellón ,60,22,2.727272727272727,18,22,0.8181818181818182
 CD Condal ,7,2,3.5,0,2,0.0
 CD Leganés ,28,12,2.3333333333333335,13,12,1.0833333333333333
 CD Leonesa ,19,4,4.75,3,4,0.75
 CD Logroñés ,37,18,2.0555555555555554,14,18,0.7777777777777778
 CD Málaga ,78,42,1.8571428571428572,44,42,1.0476190476190477
 CD Numancia ,20,10,2.0,10,10,1.0
 CD Tenerife ,61,29,2.103448275862069,31,29,1.0689655172413792
 CD Toledo ,1,1,1.0,2,1,2.0
 CE Europa ,21,6,3.5,8,6,1.3333333333333333
 CE Sabadell ,80,32,2.5,33,32,1.03125
 CF América ,2,1,2.0,0,1,0.0
 CF Extremadura ,12,4,3.0,1,4,0.25
 CF Fuenlabrada ,4,2,2.0,2,2,1.0
 CP Mérida ,11,6,1.8333333333333333,6,6,1.0
 CSKA Moskva ,5,4,1.25,6,4,1.5
 Cardiff City ,2,2,1.0,1,2,0.5
 Castilla CF ,6,1,6.0,1,1,1.0
 Celta Vigo ,260,114,2.280701754385965,146,114,1.280701754385965
 Celtic FC ,3,2,1.5,2,2,1.0
 Chelsea FC ,2,3,0.6666666666666666,4,3,1.3333333333333333
 Chernomorets Odessa ,2,2,1.0,1,2,0.5
 Club Brugge KV ,0,2,0.0,2,2,1.0
 Club Necaxa ,3,1,3.0,4,1,4.0
 Club Olimpia ,2,1,2.0,0,1,0.0
 Corinthians SP ,2,1,2.0,2,1,2.0
 Cruz Azul ,4,1,4.0,0,1,0.0
 Crvena Zvezda ,11,4,2.75,10,4,2.5
 Cádiz CF ,77,33,2.3333333333333335,23,33,0.696969696969697
 Córdoba CF ,43,18,2.388888888888889,16,18,0.8888888888888888
 Deportivo La Coruña ,202,97,2.082474226804124,120,97,1.2371134020618557
 Derby County ,6,2,3.0,5,2,2.5
