Date,Time,Place,Opponent,Scored,Missed
07/04/1912 ,   , N , Gimnástica Española , 2 , 0
26/03/1916 ,   , H , Real Madrid , 2 , 1
02/04/1916 ,   , A , Real Madrid , 1 , 4
13/04/1916 ,   , A , Real Madrid , 6 , 6
14/04/1916 ,   , A , Real Madrid , 2 , 4
18/05/1919 ,   , N , Arenas de Getxo , 2 , 5
02/05/1920 ,   , N , Athletic Bilbao , 2 , 0
14/05/1922 ,   , N , Real Unión , 5 , 1
10/05/1925 ,   , N , Arenas de Getxo , 2 , 0
18/04/1926 ,   , A , Real Madrid , 5 , 1
25/04/1926 ,   , H , Real Madrid , 3 , 0
09/05/1926 ,   , A , Atlético Madrid , 2 , 3
09/05/1926 ,   , H , Real Unión , 2 , 1
16/05/1926 ,   , N , Atlético Madrid , 3 , 2
29/06/1928 ,   , N , Real Sociedad , 3 , 1
12/02/1929 ,   , A , Racing Santander , 2 , 0
17/02/1929 ,   , H , Real Madrid , 1 , 2
24/02/1929 ,   , A , Real Sociedad , 0 , 3
03/03/1929 ,   , H , Arenas de Getxo , 2 , 2
10/03/1929 ,   , A , Atlético Madrid , 1 , 4
24/03/1929 ,   , H , CE Europa , 5 , 2
31/03/1929 ,   , A , Athletic Bilbao , 1 , 5
07/04/1929 ,   , H , Espanyol Barcelona , 1 , 0
21/04/1929 ,   , A , Real Unión , 2 , 1
28/04/1929 ,   , H , Racing Santander , 5 , 1
09/05/1929 ,   , A , Real Madrid , 1 , 0
26/05/1929 ,   , H , Atlético Madrid , 4 , 0
30/05/1929 ,   , H , Real Sociedad , 1 , 0
02/06/1929 ,   , A , CE Europa , 1 , 1
09/06/1929 ,   , H , Athletic Bilbao , 3 , 0
16/06/1929 ,   , A , Espanyol Barcelona , 1 , 1
23/06/1929 ,   , H , Real Unión , 4 , 1
30/06/1929 ,   , A , Arenas de Getxo , 2 , 0
01/12/1929 ,   , H , Real Sociedad , 3 , 0
08/12/1929 ,   , A , Arenas de Getxo , 3 , 1
15/12/1929 ,   , H , CE Europa , 2 , 1
22/12/1929 ,   , H , Racing Santander , 5 , 0
29/12/1929 ,   , A , Real Unión , 3 , 1
05/01/1930 ,   , H , Atlético Madrid , 4 , 2
12/01/1930 ,   , H , Athletic Bilbao , 1 , 1
19/01/1930 ,   , A , Espanyol Barcelona , 0 , 4
26/01/1930 ,   , H , Real Madrid , 1 , 4
02/02/1930 ,   , A , Real Sociedad , 2 , 1
09/02/1930 ,   , H , Arenas de Getxo , 3 , 1
16/02/1930 ,   , A , CE Europa , 3 , 0
23/02/1930 ,   , A , Racing Santander , 1 , 2
05/03/1930 ,   , H , Real Unión , 4 , 2
09/03/1930 ,   , A , Atlético Madrid , 2 , 3
