Date,Time,Place,Opponent,Scored,Missed
08/04/1903 ,   , N , Athletic Bilbao , 2 , 3
18/04/1905 ,   , N , Athletic Bilbao , 1 , 0
10/04/1906 ,   , N , Athletic Bilbao , 4 , 1
30/03/1907 ,   , N , Athletic Bilbao , 1 , 0
12/04/1908 ,   , H , Real Vigo Sporting , 2 , 1
26/03/1916 ,   , A , FC Barcelona , 1 , 2
02/04/1916 ,   , H , FC Barcelona , 4 , 1
13/04/1916 ,   , H , FC Barcelona , 6 , 6
14/04/1916 ,   , H , FC Barcelona , 4 , 2
07/05/1916 ,   , N , Athletic Bilbao , 0 , 4
15/05/1917 ,   , N , Arenas de Getxo , 2 , 1
12/05/1918 ,   , N , Real Unión , 0 , 2
04/05/1924 ,   , N , Real Unión , 0 , 1
18/04/1926 ,   , H , FC Barcelona , 1 , 5
25/04/1926 ,   , A , FC Barcelona , 0 , 3
10/02/1929 ,   , H , CE Europa , 5 , 0
17/02/1929 ,   , A , FC Barcelona , 2 , 1
24/02/1929 ,   , H , Atlético Madrid , 2 , 1
03/03/1929 ,   , H , Real Sociedad , 2 , 1
10/03/1929 ,   , A , Racing Santander , 3 , 1
24/03/1929 ,   , A , Espanyol Barcelona , 0 , 4
31/03/1929 ,   , H , Real Unión , 2 , 0
07/04/1929 ,   , A , Arenas de Getxo , 2 , 3
21/04/1929 ,   , H , Athletic Bilbao , 5 , 1
28/04/1929 ,   , A , CE Europa , 2 , 5
09/05/1929 ,   , H , FC Barcelona , 0 , 1
19/05/1929 ,   , A , Real Sociedad , 4 , 5
26/05/1929 ,   , H , Racing Santander , 2 , 2
30/05/1929 ,   , A , Atlético Madrid , 3 , 0
02/06/1929 ,   , H , Espanyol Barcelona , 2 , 0
09/06/1929 ,   , A , Real Unión , 2 , 0
16/06/1929 ,   , H , Arenas de Getxo , 2 , 0
23/06/1929 ,   , A , Athletic Bilbao , 0 , 2
03/02/1929 ,   , N , Espanyol Barcelona , 1 , 2
01/12/1929 ,   , A , Athletic Bilbao , 1 , 2
08/12/1929 ,   , H , Real Unión , 2 , 2
15/12/1929 ,   , A , Atlético Madrid , 1 , 2
22/12/1929 ,   , A , Real Sociedad , 0 , 4
29/12/1929 ,   , H , Espanyol Barcelona , 2 , 4
05/01/1930 ,   , H , Racing Santander , 6 , 0
12/01/1930 ,   , A , CE Europa , 2 , 1
19/01/1930 ,   , H , Arenas de Getxo , 5 , 2
26/01/1930 ,   , A , FC Barcelona , 4 , 1
02/02/1930 ,   , H , Athletic Bilbao , 2 , 3
09/02/1930 ,   , A , Real Unión , 2 , 2
16/02/1930 ,   , H , Atlético Madrid , 4 , 1
23/02/1930 ,   , H , Real Sociedad , 1 , 1
05/03/1930 ,   , A , Espanyol Barcelona , 1 , 8
09/03/1930 ,   , A , Racing Santander , 0 , 2
16/03/1930 ,   , H , CE Europa , 6 , 1
23/03/1930 ,   , A , Arenas de Getxo , 1 , 5
30/03/1930 ,   , H , FC Barcelona , 5 , 1
01/06/1930 ,   , N , Athletic Bilbao , 2 , 3
07/12/1930 ,   , H , Espanyol Barcelona , 2 , 0
21/12/1930 ,   , A , Arenas de Getxo , 1 , 4
25/12/1930 ,   , H , CE Europa , 3 , 1
04/01/1931 ,   , H , CD Alavés , 1 , 0
11/01/1931 ,   , A , Racing Santander , 0 , 3
18/01/1931 ,   , H , Athletic Bilbao , 0 , 6
25/01/1931 ,   , A , Real Sociedad , 1 , 2
27/01/1931 ,   , A , Real Unión , 1 , 1
01/02/1931 ,   , H , FC Barcelona , 0 , 0
08/02/1931 ,   , A , Espanyol Barcelona , 1 , 1
15/02/1931 ,   , H , Real Unión , 3 , 0
22/02/1931 ,   , H , Arenas de Getxo , 1 , 2
01/03/1931 ,   , A , CE Europa , 3 , 0
08/03/1931 ,   , A , CD Alavés , 0 , 2
15/03/1931 ,   , H , Racing Santander , 0 , 0
22/03/1931 ,   , A , Athletic Bilbao , 4 , 2
29/03/1931 ,   , H , Real Sociedad , 2 , 0
05/04/1931 ,   , A , FC Barcelona , 1 , 3
22/11/1931 ,   , H , Athletic Bilbao , 1 , 1
29/11/1931 ,   , A , Donostia FC , 2 , 1
20/12/1931 ,   , A , Valencia CF , 1 , 1
27/12/1931 ,   , H , CD Alavés , 5 , 0
03/01/1932 ,   , A , Arenas de Getxo , 2 , 2
10/01/1932 ,   , H , Espanyol Barcelona , 3 , 0
17/01/1932 ,   , H , Real Unión , 3 , 2
24/01/1932 ,   , A , Racing Santander , 0 , 0
31/01/1932 ,   , H , FC Barcelona , 2 , 0
07/02/1932 ,   , A , Athletic Bilbao , 3 , 3
14/02/1932 ,   , H , Donostia FC , 1 , 0
21/02/1932 ,   , H , Valencia CF , 4 , 1
28/02/1932 ,   , A , CD Alavés , 1 , 0
06/03/1932 ,   , H , Arenas de Getxo , 4 , 0
13/03/1932 ,   , A , Espanyol Barcelona , 2 , 1
20/03/1932 ,   , A , Real Unión , 1 , 1
27/03/1932 ,   , H , Racing Santander , 0 , 0
03/04/1932 ,   , A , FC Barcelona , 2 , 2
