Opponent,Scored_sum,Missed_sum,Number_of_wins,Number_of_defeats,Number_of_draws,Wins_Percentage(%)
 1. FC Kaiserslautern ,3.0,3.0,1.0,1.0,0.0,50.0
 1. FC Köln ,7.0,7.0,2.0,1.0,1.0,50.0
 1. FC Lok Leipzig ,4.0,2.0,1.0,1.0,0.0,50.0
 1. FC Magdeburg ,7.0,1.0,2.0,0.0,0.0,100.0
 AC Milan ,30.0,25.0,8.0,7.0,6.0,38.095238095238095
 ACF Fiorentina ,12.0,7.0,3.0,1.0,2.0,50.0
 AD Almería ,14.0,3.0,3.0,0.0,1.0,75.0
 AD Ceuta ,10.0,1.0,3.0,0.0,0.0,100.0
 AEK Athen ,6.0,0.0,2.0,0.0,0.0,100.0
 AEK Larnaca ,2.0,0.0,1.0,0.0,1.0,50.0
 AFC Ajax ,10.0,3.0,3.0,1.0,0.0,75.0
 AIK Solna ,11.0,3.0,3.0,0.0,1.0,75.0
 APOEL Nikosia ,5.0,0.0,2.0,0.0,0.0,100.0
 AS Monaco ,3.0,0.0,2.0,0.0,0.0,100.0
 AS Roma ,16.0,18.0,2.0,4.0,2.0,25.0
 AZ '67 Alkmaar ,6.0,5.0,1.0,0.0,1.0,50.0
 Aarhus GF ,1.0,0.0,1.0,0.0,1.0,50.0
 Al Sadd ,4.0,0.0,1.0,0.0,0.0,100.0
 Albacete ,32.0,11.0,9.0,1.0,4.0,64.28571428571429
 Apollon Limassol ,9.0,1.0,1.0,0.0,1.0,50.0
 Arenas de Getxo ,38.0,29.0,9.0,4.0,3.0,56.25
 Aris Bonnevoie ,11.0,2.0,2.0,0.0,0.0,100.0
 Arsenal FC ,22.0,11.0,6.0,1.0,2.0,66.66666666666667
 Aston Villa ,5.0,6.0,2.0,1.0,1.0,50.0
 Athletic Bilbao ,381.0,284.0,103.0,67.0,34.0,50.490196078431374
 Atlético Aviación ,33.0,38.0,3.0,8.0,4.0,20.0
 Atlético Madrid ,361.0,273.0,91.0,58.0,46.0,46.666666666666664
 Atlético Tetuán ,8.0,4.0,2.0,0.0,0.0,100.0
 Austria Wien ,6.0,2.0,2.0,0.0,2.0,50.0
 Auswahl Basel ,7.0,3.0,2.0,0.0,0.0,100.0
 B 1913 Odense ,6.0,0.0,2.0,0.0,0.0,100.0
 BATE Borisov ,14.0,0.0,4.0,0.0,0.0,100.0
 Bayer 05 Uerdingen ,4.0,0.0,2.0,0.0,0.0,100.0
 Bayer Leverkusen ,20.0,9.0,6.0,2.0,2.0,60.0
 Bayern München ,14.0,18.0,2.0,6.0,2.0,20.0
 Benidorm CD ,6.0,0.0,4.0,0.0,0.0,100.0
 Beograd XI ,8.0,4.0,2.0,0.0,2.0,50.0
 Berliner Auswahl ,3.0,1.0,1.0,1.0,0.0,50.0
 Beşiktaş ,5.0,3.0,1.0,1.0,0.0,50.0
 Birmingham City ,20.0,12.0,6.0,2.0,2.0,60.0
 Boca Juniors ,6.0,0.0,2.0,0.0,0.0,100.0
 Bor. Mönchengladbach ,6.0,1.0,2.0,0.0,0.0,100.0
 Borussia Dortmund ,3.0,1.0,1.0,0.0,1.0,50.0
 Brøndby IF ,7.0,1.0,4.0,0.0,0.0,100.0
 Budapesti Vasas ,4.0,1.0,2.0,0.0,0.0,100.0
 Burgos CF ,17.0,6.0,7.0,2.0,3.0,58.333333333333336
 CA Osasuna ,185.0,72.0,49.0,18.0,17.0,58.333333333333336
 CD Alavés ,84.0,30.0,23.0,5.0,5.0,69.6969696969697
 CD Alcoyano ,28.0,6.0,8.0,0.0,2.0,80.0
 CD Castellón ,59.0,26.0,16.0,4.0,4.0,66.66666666666667
 CD Condal ,6.0,1.0,1.0,0.0,1.0,50.0
